english,tamil,style
"Hello sir","வணக்கம் ஐயா","formal"
"How are you doing?","எப்படி இருக்கிறீர்கள்?","formal"
"I would like to help you","நான் உங்களுக்கு உதவ விரும்புகிறேன்","formal"
"Thank you for your assistance","உங்கள் உதவிக்கு மிக்க நன்றி","formal"
"Where is the library?","நூலகம் எங்கே இருக்கிறது?","formal"
"Hey man, what's up?","டேய் மச்சான், என்ன விசேஷம்?","casual"
"What are you saying?","என்னடா சொல்ற?","casual"
"I'm coming now","இதோ வந்துட்டே இருக்கேன்","casual"
"Did you eat?","சாப்டியா?","casual"
"It's very expensive","கை கடிக்கிதுப்பா","casual"
"The flower is beautiful","மலர் மிகவும் அழகாக இருக்கிறது","literary"
"Thy glory is boundless","உன் புகழ் எல்லையற்றது","literary"
"She speaks like a poet","அவள் கவிஞனைப் போல் பேசுகிறாள்","literary"
"Where are you?","எங்க இருக்கீங்க?","spoken"
"Give it to me","என்கிட்ட கொடுங்க","spoken"
"I told him","நான் அவன்கிட்ட சொன்னேன்","spoken"
"Don't worry","கவலைப்படாதீங்க","spoken"
"What do you want?","என்ன வேணும்?","spoken"
"He came just now","அவரு இப்பதான் வந்தாக","madurai"
"I'll go and come","நான் போயிட்டு வரேனுங்க","madurai"
"Is it okay?","அது சரியா இருக்குங்களா?","madurai"
"What's the matter?","என்ன விசேஷம்ணா?","madurai"
"No problem man","நோ ப்ராப்ளம் மச்சி","chennai"
"He's a great guy","அவரு வேற லெவல் ஆளு","chennai"
"It's super","அது சூப்பரா இருக்குது","chennai"
"I'm coming to your area","உன் ஏரியாவுக்கு வரேன் பா","chennai"
"Don't play with me","என்கிட்ட சீன் போடாத","chennai"
"I don't know anything","எனக்கு எதுவும் தெரியாது","spoken"
"Why are you calling?","ஏன் கூப்பிடுறீங்க?","spoken"
"When will you go?","எப்போ போவீங்க?","spoken"
"I can't come today","இன்னைக்கு என்னால வர முடியாது","spoken"
"What are you doing?","என்ன பண்ணிட்டு இருக்க?","casual"
"It's okay, no problem","பரவாயில்லை, ஒரு பிரச்சனையும் இல்லை","casual"
"I already told you","நான் ஏற்கனவே உன்கிட்ட சொன்னேன்","casual"
"He is doing well","அவரு நல்லா இருக்காரு","spoken"
"They are coming tomorrow","அவங்க நாளைக்கு வராங்க","spoken"
"What's the matter?","என்ன சமாச்சாரம்?","casual"
"I'll take care of it","நான் பாத்துக்கறேன்","casual"
"Don't talk too much","ரொம்ப பேசாத","casual"
"What's the scene here?","இங்க என்ன சீன் ஓடுது?","chennai"
"Shut up and go","வாய மூடிட்டு போடா","chennai"
"This is heavy","இது மரண மாசா இருக்கு","chennai"
"Where are you going man?","எங்க போற மச்சான்?","chennai"
"Just kidding","சும்மா விளையாட்டுக்கு சொன்னேன்","casual"
"Are you joking?","என்ன கிண்டல் பண்றியா?","casual"
"I'm very hungry","செம பசியா இருக்கு","casual"
