english,tamil,style
"Hello friend","வணக்கம் நண்பரே","formal"
"How are you?","எப்படி இருக்கிறீர்கள்?","formal"
"Hey buddy","டேய் மச்சான் எப்படி இருக்க?","casual"
"What's up?","என்ன விசேஷம்?","casual"
"The sun rises in the east","கதிரவன் குணதிசையில் உதிக்கிறான்","literary"
"Thy beauty is eternal","உன் எழில் என்றும் அழியாதது","literary"
"Come here","இங்க வா","spoken"
"Go there","அங்க போ","spoken"
"Where are you?","எங்க இருக்கீங்க?","chennai"
"No problem","நோ ப்ராப்ளம்","chennai"
"He came","அவரு வந்தாக","madurai"
"I don't know","எனக்குத் தெரியாதுங்க","madurai"
