tamil,english
வணக்கம்,Hello
நீங்கள் எப்படி இருக்கிறீர்கள்?,How are you?
உங்கள் பெயர் என்ன?,What is your name?
நான் நலமாக இருக்கிறேன்.,I am fine.
காலை வணக்கம்.,Good morning.
தமிழ் ஒரு அழகான மொழி.,Tamil is a beautiful language.
நீங்கள் எங்கே போகிறீர்கள்?,Where are you going?
புதிய விஷயங்களைக் கற்றுக்கொள்வது எனக்குப் பிடிக்கும்.,I love to learn new things.
இது ஒரு சோதனை வாக்கியம்.,This is a test sentence.
நரம்பியல் இயந்திர மொழிபெயர்ப்பு சக்தி வாய்ந்தது.,Neural machine translation is powerful.
வணக்கம்,Hello
நீங்கள் எப்படி இருக்கிறீர்கள்?,How are you?
உங்கள் பெயர் என்ன?,What is your name?
நான் நலமாக இருக்கிறேன்.,I am fine.
காலை வணக்கம்.,Good morning.
தமிழ் ஒரு அழகான மொழி.,Tamil is a beautiful language.
நீங்கள் எங்கே போகிறீர்கள்?,Where are you going?
புதிய விஷயங்களைக் கற்றுக்கொள்வது எனக்குப் பிடிக்கும்.,I love to learn new things.
இது ஒரு சோதனை வாக்கியம்.,This is a test sentence.
நரம்பியல் இயந்திர மொழிபெயர்ப்பு சக்தி வாய்ந்தது.,Neural machine translation is powerful.
வணக்கம்,Hello
நீங்கள் எப்படி இருக்கிறீர்கள்?,How are you?
உங்கள் பெயர் என்ன?,What is your name?
நான் நலமாக இருக்கிறேன்.,I am fine.
காலை வணக்கம்.,Good morning.
தமிழ் ஒரு அழகான மொழி.,Tamil is a beautiful language.
நீங்கள் எங்கே போகிறீர்கள்?,Where are you going?
புதிய விஷயங்களைக் கற்றுக்கொள்வது எனக்குப் பிடிக்கும்.,I love to learn new things.
இது ஒரு சோதனை வாக்கியம்.,This is a test sentence.
நரம்பியல் இயந்திர மொழிபெயர்ப்பு சக்தி வாய்ந்தது.,Neural machine translation is powerful.
வணக்கம்,Hello
நீங்கள் எப்படி இருக்கிறீர்கள்?,How are you?
உங்கள் பெயர் என்ன?,What is your name?
நான் நலமாக இருக்கிறேன்.,I am fine.
காலை வணக்கம்.,Good morning.
தமிழ் ஒரு அழகான மொழி.,Tamil is a beautiful language.
நீங்கள் எங்கே போகிறீர்கள்?,Where are you going?
புதிய விஷயங்களைக் கற்றுக்கொள்வது எனக்குப் பிடிக்கும்.,I love to learn new things.
இது ஒரு சோதனை வாக்கியம்.,This is a test sentence.
நரம்பியல் இயந்திர மொழிபெயர்ப்பு சக்தி வாய்ந்தது.,Neural machine translation is powerful.
வணக்கம்,Hello
நீங்கள் எப்படி இருக்கிறீர்கள்?,How are you?
உங்கள் பெயர் என்ன?,What is your name?
நான் நலமாக இருக்கிறேன்.,I am fine.
காலை வணக்கம்.,Good morning.
தமிழ் ஒரு அழகான மொழி.,Tamil is a beautiful language.
நீங்கள் எங்கே போகிறீர்கள்?,Where are you going?
புதிய விஷயங்களைக் கற்றுக்கொள்வது எனக்குப் பிடிக்கும்.,I love to learn new things.
இது ஒரு சோதனை வாக்கியம்.,This is a test sentence.
நரம்பியல் இயந்திர மொழிபெயர்ப்பு சக்தி வாய்ந்தது.,Neural machine translation is powerful.
வணக்கம்,Hello
நீங்கள் எப்படி இருக்கிறீர்கள்?,How are you?
உங்கள் பெயர் என்ன?,What is your name?
நான் நலமாக இருக்கிறேன்.,I am fine.
காலை வணக்கம்.,Good morning.
தமிழ் ஒரு அழகான மொழி.,Tamil is a beautiful language.
நீங்கள் எங்கே போகிறீர்கள்?,Where are you going?
புதிய விஷயங்களைக் கற்றுக்கொள்வது எனக்குப் பிடிக்கும்.,I love to learn new things.
இது ஒரு சோதனை வாக்கியம்.,This is a test sentence.
நரம்பியல் இயந்திர மொழிபெயர்ப்பு சக்தி வாய்ந்தது.,Neural machine translation is powerful.
வணக்கம்,Hello
நீங்கள் எப்படி இருக்கிறீர்கள்?,How are you?
உங்கள் பெயர் என்ன?,What is your name?
நான் நலமாக இருக்கிறேன்.,I am fine.
காலை வணக்கம்.,Good morning.
தமிழ் ஒரு அழகான மொழி.,Tamil is a beautiful language.
நீங்கள் எங்கே போகிறீர்கள்?,Where are you going?
புதிய விஷயங்களைக் கற்றுக்கொள்வது எனக்குப் பிடிக்கும்.,I love to learn new things.
இது ஒரு சோதனை வாக்கியம்.,This is a test sentence.
நரம்பியல் இயந்திர மொழிபெயர்ப்பு சக்தி வாய்ந்தது.,Neural machine translation is powerful.
வணக்கம்,Hello
நீங்கள் எப்படி இருக்கிறீர்கள்?,How are you?
உங்கள் பெயர் என்ன?,What is your name?
நான் நலமாக இருக்கிறேன்.,I am fine.
காலை வணக்கம்.,Good morning.
தமிழ் ஒரு அழகான மொழி.,Tamil is a beautiful language.
நீங்கள் எங்கே போகிறீர்கள்?,Where are you going?
புதிய விஷயங்களைக் கற்றுக்கொள்வது எனக்குப் பிடிக்கும்.,I love to learn new things.
இது ஒரு சோதனை வாக்கியம்.,This is a test sentence.
நரம்பியல் இயந்திர மொழிபெயர்ப்பு சக்தி வாய்ந்தது.,Neural machine translation is powerful.
வணக்கம்,Hello
நீங்கள் எப்படி இருக்கிறீர்கள்?,How are you?
உங்கள் பெயர் என்ன?,What is your name?
நான் நலமாக இருக்கிறேன்.,I am fine.
காலை வணக்கம்.,Good morning.
தமிழ் ஒரு அழகான மொழி.,Tamil is a beautiful language.
நீங்கள் எங்கே போகிறீர்கள்?,Where are you going?
புதிய விஷயங்களைக் கற்றுக்கொள்வது எனக்குப் பிடிக்கும்.,I love to learn new things.
இது ஒரு சோதனை வாக்கியம்.,This is a test sentence.
நரம்பியல் இயந்திர மொழிபெயர்ப்பு சக்தி வாய்ந்தது.,Neural machine translation is powerful.
வணக்கம்,Hello
நீங்கள் எப்படி இருக்கிறீர்கள்?,How are you?
உங்கள் பெயர் என்ன?,What is your name?
நான் நலமாக இருக்கிறேன்.,I am fine.
காலை வணக்கம்.,Good morning.
தமிழ் ஒரு அழகான மொழி.,Tamil is a beautiful language.
நீங்கள் எங்கே போகிறீர்கள்?,Where are you going?
புதிய விஷயங்களைக் கற்றுக்கொள்வது எனக்குப் பிடிக்கும்.,I love to learn new things.
இது ஒரு சோதனை வாக்கியம்.,This is a test sentence.
நரம்பியல் இயந்திர மொழிபெயர்ப்பு சக்தி வாய்ந்தது.,Neural machine translation is powerful.
வணக்கம்,Hello
நீங்கள் எப்படி இருக்கிறீர்கள்?,How are you?
உங்கள் பெயர் என்ன?,What is your name?
நான் நலமாக இருக்கிறேன்.,I am fine.
காலை வணக்கம்.,Good morning.
தமிழ் ஒரு அழகான மொழி.,Tamil is a beautiful language.
நீங்கள் எங்கே போகிறீர்கள்?,Where are you going?
புதிய விஷயங்களைக் கற்றுக்கொள்வது எனக்குப் பிடிக்கும்.,I love to learn new things.
இது ஒரு சோதனை வாக்கியம்.,This is a test sentence.
நரம்பியல் இயந்திர மொழிபெயர்ப்பு சக்தி வாய்ந்தது.,Neural machine translation is powerful.
வணக்கம்,Hello
நீங்கள் எப்படி இருக்கிறீர்கள்?,How are you?
உங்கள் பெயர் என்ன?,What is your name?
நான் நலமாக இருக்கிறேன்.,I am fine.
காலை வணக்கம்.,Good morning.
தமிழ் ஒரு அழகான மொழி.,Tamil is a beautiful language.
நீங்கள் எங்கே போகிறீர்கள்?,Where are you going?
புதிய விஷயங்களைக் கற்றுக்கொள்வது எனக்குப் பிடிக்கும்.,I love to learn new things.
இது ஒரு சோதனை வாக்கியம்.,This is a test sentence.
நரம்பியல் இயந்திர மொழிபெயர்ப்பு சக்தி வாய்ந்தது.,Neural machine translation is powerful.
வணக்கம்,Hello
நீங்கள் எப்படி இருக்கிறீர்கள்?,How are you?
உங்கள் பெயர் என்ன?,What is your name?
நான் நலமாக இருக்கிறேன்.,I am fine.
காலை வணக்கம்.,Good morning.
தமிழ் ஒரு அழகான மொழி.,Tamil is a beautiful language.
நீங்கள் எங்கே போகிறீர்கள்?,Where are you going?
புதிய விஷயங்களைக் கற்றுக்கொள்வது எனக்குப் பிடிக்கும்.,I love to learn new things.
இது ஒரு சோதனை வாக்கியம்.,This is a test sentence.
நரம்பியல் இயந்திர மொழிபெயர்ப்பு சக்தி வாய்ந்தது.,Neural machine translation is powerful.
வணக்கம்,Hello
நீங்கள் எப்படி இருக்கிறீர்கள்?,How are you?
உங்கள் பெயர் என்ன?,What is your name?
நான் நலமாக இருக்கிறேன்.,I am fine.
காலை வணக்கம்.,Good morning.
தமிழ் ஒரு அழகான மொழி.,Tamil is a beautiful language.
நீங்கள் எங்கே போகிறீர்கள்?,Where are you going?
புதிய விஷயங்களைக் கற்றுக்கொள்வது எனக்குப் பிடிக்கும்.,I love to learn new things.
இது ஒரு சோதனை வாக்கியம்.,This is a test sentence.
நரம்பியல் இயந்திர மொழிபெயர்ப்பு சக்தி வாய்ந்தது.,Neural machine translation is powerful.
வணக்கம்,Hello
நீங்கள் எப்படி இருக்கிறீர்கள்?,How are you?
உங்கள் பெயர் என்ன?,What is your name?
நான் நலமாக இருக்கிறேன்.,I am fine.
காலை வணக்கம்.,Good morning.
தமிழ் ஒரு அழகான மொழி.,Tamil is a beautiful language.
நீங்கள் எங்கே போகிறீர்கள்?,Where are you going?
புதிய விஷயங்களைக் கற்றுக்கொள்வது எனக்குப் பிடிக்கும்.,I love to learn new things.
இது ஒரு சோதனை வாக்கியம்.,This is a test sentence.
நரம்பியல் இயந்திர மொழிபெயர்ப்பு சக்தி வாய்ந்தது.,Neural machine translation is powerful.
வணக்கம்,Hello
நீங்கள் எப்படி இருக்கிறீர்கள்?,How are you?
உங்கள் பெயர் என்ன?,What is your name?
நான் நலமாக இருக்கிறேன்.,I am fine.
காலை வணக்கம்.,Good morning.
தமிழ் ஒரு அழகான மொழி.,Tamil is a beautiful language.
நீங்கள் எங்கே போகிறீர்கள்?,Where are you going?
புதிய விஷயங்களைக் கற்றுக்கொள்வது எனக்குப் பிடிக்கும்.,I love to learn new things.
இது ஒரு சோதனை வாக்கியம்.,This is a test sentence.
நரம்பியல் இயந்திர மொழிபெயர்ப்பு சக்தி வாய்ந்தது.,Neural machine translation is powerful.
வணக்கம்,Hello
நீங்கள் எப்படி இருக்கிறீர்கள்?,How are you?
உங்கள் பெயர் என்ன?,What is your name?
நான் நலமாக இருக்கிறேன்.,I am fine.
காலை வணக்கம்.,Good morning.
